Ticker_Nome;Ticker;Nome;Market
SPRB - Spruce Biosciences, Inc. - Common Stock;SPRB;Spruce Biosciences, Inc. - Common Stock;Nasdaq
SPRC - SciSparc Ltd. - Ordinary Shares;SPRC;SciSparc Ltd. - Ordinary Shares;Nasdaq
SPRO - Spero Therapeutics, Inc. - Common Stock;SPRO;Spero Therapeutics, Inc. - Common Stock;Nasdaq
SPRX - Spear Alpha ETF;SPRX;Spear Alpha ETF;Nasdaq
SPRY - ARS Pharmaceuticals, Inc. - Common Stock;SPRY;ARS Pharmaceuticals, Inc. - Common Stock;Nasdaq
SPSC - SPS Commerce, Inc. - Common Stock;SPSC;SPS Commerce, Inc. - Common Stock;Nasdaq
SPT - Sprout Social, Inc - Class A Common Stock;SPT;Sprout Social, Inc - Class A Common Stock;Nasdaq
SPTN - SpartanNash Company - Common Stock;SPTN;SpartanNash Company - Common Stock;Nasdaq
SPWH - Sportsman's Warehouse Holdings, Inc. - Common Stock;SPWH;Sportsman's Warehouse Holdings, Inc. - Common Stock;Nasdaq
SPWR - SunPower Corporation - Common Stock;SPWR;SunPower Corporation - Common Stock;Nasdaq
SQFT - Presidio Property Trust, Inc. - Class A Common Stock;SQFT;Presidio Property Trust, Inc. - Class A Common Stock;Nasdaq
SQFTP - Presidio Property Trust, Inc. - 9.375% Series D Cumulative Redeemable Perpetual Preferred Stock, $0.01 par value per share;SQFTP;Presidio Property Trust, Inc. - 9.375% Series D Cumulative Redeemable Perpetual Preferred Stock, $0.01 par value per share;Nasdaq
SQFTW - Presidio Property Trust, Inc. - Series A Common Stock Purchase Warrants;SQFTW;Presidio Property Trust, Inc. - Series A Common Stock Purchase Warrants;Nasdaq
SQLV - Royce Quant Small-Cap Quality Value ETF;SQLV;Royce Quant Small-Cap Quality Value ETF;Nasdaq
SQQQ - ProShares UltraPro Short QQQ;SQQQ;ProShares UltraPro Short QQQ;Nasdaq
SRAD - Sportradar Group AG - Class A Ordinary Shares;SRAD;Sportradar Group AG - Class A Ordinary Shares;Nasdaq
SRBK - SR Bancorp, Inc. - Common stock;SRBK;SR Bancorp, Inc. - Common stock;Nasdaq
SRCE - 1st Source Corporation - Common Stock;SRCE;1st Source Corporation - Common Stock;Nasdaq
SRCL - Stericycle, Inc. - Common Stock;SRCL;Stericycle, Inc. - Common Stock;Nasdaq
SRDX - Surmodics, Inc. - Common Stock;SRDX;Surmodics, Inc. - Common Stock;Nasdaq
SRET - Global X SuperDividend REIT ETF;SRET;Global X SuperDividend REIT ETF;Nasdaq
SRM - SRM Entertainment, Inc. - Common Stock;SRM;SRM Entertainment, Inc. - Common Stock;Nasdaq
SRPT - Sarepta Therapeutics, Inc. - Common Stock;SRPT;Sarepta Therapeutics, Inc. - Common Stock;Nasdaq
SRRK - Scholar Rock Holding Corporation - Common Stock;SRRK;Scholar Rock Holding Corporation - Common Stock;Nasdaq
SRTS - Sensus Healthcare, Inc. - Common Stock;SRTS;Sensus Healthcare, Inc. - Common Stock;Nasdaq
SRZN - Surrozen, Inc. - Common Stock;SRZN;Surrozen, Inc. - Common Stock;Nasdaq
SRZNW - Surrozen, Inc. - Warrant;SRZNW;Surrozen, Inc. - Warrant;Nasdaq
SSBI - Summit State Bank - Common Stock;SSBI;Summit State Bank - Common Stock;Nasdaq
SSBK - Southern States Bancshares, Inc. - Common Stock;SSBK;Southern States Bancshares, Inc. - Common Stock;Nasdaq
SSIC - Silver Spike Investment Corp. - Common Stock;SSIC;Silver Spike Investment Corp. - Common Stock;Nasdaq
SSKN - Strata Skin Sciences, Inc. - Common Stock;SSKN;Strata Skin Sciences, Inc. - Common Stock;Nasdaq
SSNC - SS&C Technologies Holdings, Inc. - Common Stock;SSNC;SS&C Technologies Holdings, Inc. - Common Stock;Nasdaq
SSP - E.W. Scripps Company (The) - Class A Common Stock;SSP;E.W. Scripps Company (The) - Class A Common Stock;Nasdaq
SSRM - SSR Mining Inc. - Common Stock;SSRM;SSR Mining Inc. - Common Stock;Nasdaq
SSSS - SuRo Capital Corp. - Closed End Fund;SSSS;SuRo Capital Corp. - Closed End Fund;Nasdaq
SSSSL - SuRo Capital Corp. - 6.00% Notes due 2026;SSSSL;SuRo Capital Corp. - 6.00% Notes due 2026;Nasdaq
SSTI - SoundThinking, Inc. - Common Stock;SSTI;SoundThinking, Inc. - Common Stock;Nasdaq
SSYS - Stratasys, Ltd. - Common Stock;SSYS;Stratasys, Ltd. - Common Stock;Nasdaq
STAA - STAAR Surgical Company - Common Stock;STAA;STAAR Surgical Company - Common Stock;Nasdaq
STAF - Staffing 360 Solutions, Inc. - Common Stock;STAF;Staffing 360 Solutions, Inc. - Common Stock;Nasdaq
STBA - S&T Bancorp, Inc. - Common Stock;STBA;S&T Bancorp, Inc. - Common Stock;Nasdaq
STBX - Starbox Group Holdings Ltd. - Class A Ordinary Shares;STBX;Starbox Group Holdings Ltd. - Class A Ordinary Shares;Nasdaq
STCN - Steel Connect, Inc. - Common Stock;STCN;Steel Connect, Inc. - Common Stock;Nasdaq
STEP - StepStone Group Inc. - Class A Common Stock;STEP;StepStone Group Inc. - Class A Common Stock;Nasdaq
STER - Sterling Check Corp. - Common Stock;STER;Sterling Check Corp. - Common Stock;Nasdaq
STGW - Stagwell Inc. - Class A Common Stock;STGW;Stagwell Inc. - Class A Common Stock;Nasdaq
STHO - Star Holdings - Shares of Beneficial Interest;STHO;Star Holdings - Shares of Beneficial Interest;Nasdaq
STI - Solidion Technology, Inc. - Common Stock;STI;Solidion Technology, Inc. - Common Stock;Nasdaq
STIM - Neuronetics, Inc. - Common Stock;STIM;Neuronetics, Inc. - Common Stock;Nasdaq
STKH - Steakholder Foods Ltd. - American Depositary Shares;STKH;Steakholder Foods Ltd. - American Depositary Shares;Nasdaq
STKL - SunOpta, Inc. - Common Stock;STKL;SunOpta, Inc. - Common Stock;Nasdaq
STKS - The ONE Group Hospitality, Inc. - Common Stock;STKS;The ONE Group Hospitality, Inc. - Common Stock;Nasdaq
STLD - Steel Dynamics, Inc. - Common Stock;STLD;Steel Dynamics, Inc. - Common Stock;Nasdaq
STNE - StoneCo Ltd. - Class A Common Share;STNE;StoneCo Ltd. - Class A Common Share;Nasdaq
STOK - Stoke Therapeutics, Inc. - Common Stock;STOK;Stoke Therapeutics, Inc. - Common Stock;Nasdaq
STRA - Strategic Education, Inc. - Common Stock;STRA;Strategic Education, Inc. - Common Stock;Nasdaq
STRL - Sterling Infrastructure, Inc. - Common Stock;STRL;Sterling Infrastructure, Inc. - Common Stock;Nasdaq
STRM - Streamline Health Solutions, Inc. - Common Stock;STRM;Streamline Health Solutions, Inc. - Common Stock;Nasdaq
STRO - Sutro Biopharma, Inc. - Common Stock;STRO;Sutro Biopharma, Inc. - Common Stock;Nasdaq
STRR - Star Equity Holdings, Inc. - Common Stock;STRR;Star Equity Holdings, Inc. - Common Stock;Nasdaq
STRRP - Star Equity Holdings, Inc. - Series A Cumulative Perpetual Preferred Stock;STRRP;Star Equity Holdings, Inc. - Series A Cumulative Perpetual Preferred Stock;Nasdaq
STRS - Stratus Properties Inc. - Common Stock;STRS;Stratus Properties Inc. - Common Stock;Nasdaq
STRT - STRATTEC SECURITY CORPORATION - Common Stock;STRT;STRATTEC SECURITY CORPORATION - Common Stock;Nasdaq
